10
3	20	14 
4	20	14 
1	56	98 
5	56	98 
2	98	14 
--------------------------
6	215	240 
5	215	241 
4	215	242 
3	382	357 
2	382	358 
1	382	359 
11	695	241 
7	710	245 
8	710	245 
9	710	245 
10	715	242 
--------------------------
1	0	0 
5	0	0 
2	1	1 
4	1	1 
3	2	2 
6	4	4 
--------------------------
1	382	353 
2	484	328 
3	695	241 
5	695	241 
6	695	241 
9	695	241 
7	710	245 
4	715	242 
8	715	242 
--------------------------
3	0	15 
1	95	85 
4	569	471 
2	658	417 
--------------------------
5	90	90 
2	90	96 
6	90	96 
3	90	121 
4	90	123 
1	90	146 
7	90	245 
--------------------------
15	51	617 
12	220	1189 
16	220	1189 
14	246	1293 
13	466	1668 
5	493	151 
17	783	453 
18	941	902 
1	973	1313 
8	1007	783 
2	1066	1967 
7	1085	1672 
6	1098	1242 
9	1098	1242 
10	1162	1194 
3	1292	72 
19	1521	1204 
11	1765	1803 
4	1818	377 
--------------------------
1	100	101 
2	102	103 
3	104	95 
4	104	169 
5	110	156 
6	142	362 
7	165	100 
8	192	156 
9	246	79 
10	265	137 
--------------------------
5	51	50 
4	53	52 
3	55	54 
2	57	56 
1	59	58 
--------------------------
18	107	248 
25	107	248 
36	107	248 
6	126	381 
15	126	381 
22	126	381 
33	126	381 
11	175	573 
29	175	573 
5	202	386 
14	202	386 
21	202	386 
32	202	386 
2	266	910 
4	326	42 
13	326	42 
20	326	42 
31	326	42 
17	391	645 
24	391	645 
35	391	645 
3	412	110 
12	412	110 
19	412	110 
30	412	110 
1	479	494 
7	729	545 
16	729	545 
23	729	545 
34	729	545 
9	809	293 
27	809	293 
8	967	165 
26	967	165 
10	991	236 
28	991	236 
--------------------------
